 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   5,50 keV   2,385E+01  1,251E+01    1076 A       467 A       386 A   
   6,00 keV   2,491E+01  1,197E+01    1178 A       499 A       417 A   
   6,50 keV   2,592E+01  1,148E+01    1279 A       530 A       447 A   
   7,00 keV   2,690E+01  1,104E+01    1379 A       560 A       476 A   
   8,00 keV   2,876E+01  1,027E+01    1579 A       615 A       532 A   
   9,00 keV   3,055E+01  9,611E+00    1776 A       667 A       585 A   
  10,00 keV   3,225E+01  9,046E+00    1971 A       715 A       636 A   
  11,00 keV   3,387E+01  8,553E+00    2163 A       760 A       684 A   
  12,00 keV   3,542E+01  8,119E+00    2352 A       802 A       731 A   
  13,00 keV   3,692E+01  7,734E+00    2539 A       842 A       775 A   
  14,00 keV   3,836E+01  7,388E+00    2722 A       879 A       818 A   
  15,00 keV   3,975E+01  7,076E+00    2903 A       913 A       858 A   
  16,00 keV   4,110E+01  6,794E+00    3081 A       946 A       897 A   
  17,00 keV   4,242E+01  6,536E+00    3257 A       977 A       935 A   
  18,00 keV   4,370E+01  6,300E+00    3430 A      1007 A       971 A   
  20,00 keV   4,616E+01  5,881E+00    3768 A      1061 A      1039 A   
  22,50 keV   4,908E+01  5,440E+00    4178 A      1122 A      1117 A   
  25,00 keV   5,186E+01  5,067E+00    4575 A      1177 A      1189 A   
  27,50 keV   5,451E+01  4,749E+00    4959 A      1226 A      1256 A   
  30,00 keV   5,706E+01  4,472E+00    5332 A      1270 A      1317 A   
  32,50 keV   5,951E+01  4,230E+00    5694 A      1311 A      1375 A   
  35,00 keV   6,188E+01  4,015E+00    6046 A      1347 A      1428 A   
  37,50 keV   6,417E+01  3,824E+00    6388 A      1381 A      1478 A   
  40,00 keV   6,639E+01  3,652E+00    6722 A      1412 A      1526 A   
  45,00 keV   7,065E+01  3,355E+00    7367 A      1469 A      1612 A   
  50,00 keV   7,470E+01  3,108E+00    7983 A      1518 A      1690 A   
  55,00 keV   7,858E+01  2,898E+00    8573 A      1562 A      1760 A   
  60,00 keV   8,229E+01  2,718E+00    9142 A      1600 A      1824 A   
  65,00 keV   8,586E+01  2,560E+00    9689 A      1635 A      1883 A   
  70,00 keV   8,930E+01  2,422E+00    1,02 um     1666 A      1936 A   
  80,00 keV   9,586E+01  2,190E+00    1,12 um     1722 A      2033 A   
  90,00 keV   1,020E+02  2,002E+00    1,22 um     1769 A      2117 A   
 100,00 keV   1,079E+02  1,846E+00    1,31 um     1810 A      2190 A   
 110,00 keV   1,134E+02  1,715E+00    1,40 um     1845 A      2256 A   
 120,00 keV   1,187E+02  1,603E+00    1,48 um     1876 A      2315 A   
 130,00 keV   1,238E+02  1,506E+00    1,56 um     1904 A      2369 A   
 140,00 keV   1,286E+02  1,421E+00    1,63 um     1928 A      2418 A   
 150,00 keV   1,332E+02  1,346E+00    1,71 um     1951 A      2463 A   
 160,00 keV   1,377E+02  1,279E+00    1,78 um     1971 A      2505 A   
 170,00 keV   1,420E+02  1,219E+00    1,85 um     1989 A      2543 A   
 180,00 keV   1,461E+02  1,164E+00    1,92 um     2007 A      2579 A   
 200,00 keV   1,538E+02  1,070E+00    2,05 um     2041 A      2644 A   
 225,00 keV   1,626E+02  9,737E-01    2,20 um     2080 A      2716 A   
 250,00 keV   1,706E+02  8,942E-01    2,35 um     2114 A      2778 A   
 275,00 keV   1,778E+02  8,277E-01    2,49 um     2143 A      2833 A   
 300,00 keV   1,843E+02  7,710E-01    2,63 um     2170 A      2883 A   
 325,00 keV   1,901E+02  7,222E-01    2,76 um     2194 A      2929 A   
 350,00 keV   1,952E+02  6,796E-01    2,89 um     2215 A      2970 A   
 375,00 keV   1,998E+02  6,421E-01    3,01 um     2236 A      3009 A   
 400,00 keV   2,038E+02  6,088E-01    3,14 um     2254 A      3045 A   
 450,00 keV   2,102E+02  5,523E-01    3,37 um     2301 A      3110 A   
 500,00 keV   2,148E+02  5,060E-01    3,61 um     2343 A      3169 A   
 550,00 keV   2,179E+02  4,674E-01    3,84 um     2382 A      3223 A   
 600,00 keV   2,197E+02  4,346E-01    4,06 um     2419 A      3273 A   
 650,00 keV   2,204E+02  4,064E-01    4,29 um     2454 A      3320 A   
 700,00 keV   2,203E+02  3,819E-01    4,52 um     2488 A      3365 A   
 800,00 keV   2,181E+02  3,412E-01    4,97 um     2594 A      3450 A   
 900,00 keV   2,142E+02  3,089E-01    5,43 um     2697 A      3530 A   
   1,00 MeV   2,094E+02  2,824E-01    5,90 um     2799 A      3607 A   
   1,10 MeV   2,040E+02  2,604E-01    6,38 um     2902 A      3682 A   
   1,20 MeV   1,985E+02  2,418E-01    6,88 um     3005 A      3757 A   
   1,30 MeV   1,931E+02  2,258E-01    7,39 um     3110 A      3832 A   
   1,40 MeV   1,878E+02  2,119E-01    7,91 um     3217 A      3907 A   
   1,50 MeV   1,826E+02  1,997E-01    8,45 um     3325 A      3982 A   
   1,60 MeV   1,777E+02  1,890E-01    9,01 um     3436 A      4059 A   
   1,70 MeV   1,730E+02  1,794E-01    9,57 um     3548 A      4137 A   
   1,80 MeV   1,685E+02  1,707E-01   10,16 um     3663 A      4216 A   
   2,00 MeV   1,601E+02  1,559E-01   11,37 um     4084 A      4379 A   
   2,25 MeV   1,507E+02  1,408E-01   12,98 um     4718 A      4593 A   
   2,50 MeV   1,422E+02  1,285E-01   14,69 um     5342 A      4820 A   
   2,75 MeV   1,346E+02  1,183E-01   16,49 um     5964 A      5061 A   
   3,00 MeV   1,278E+02  1,096E-01   18,39 um     6589 A      5316 A   
   3,25 MeV   1,216E+02  1,022E-01   20,40 um     7217 A      5585 A   
   3,50 MeV   1,160E+02  9,583E-02   22,50 um     7853 A      5870 A   
   3,75 MeV   1,109E+02  9,022E-02   24,70 um     8496 A      6171 A   
   4,00 MeV   1,062E+02  8,526E-02   27,00 um     9147 A      6487 A   
   4,50 MeV   9,811E+01  7,689E-02   31,89 um     1,16 um     7165 A   
   5,00 MeV   9,123E+01  7,009E-02   37,17 um     1,39 um     7905 A   
   5,50 MeV   8,532E+01  6,445E-02   42,84 um     1,61 um     8705 A   
   6,00 MeV   8,020E+01  5,969E-02   48,87 um     1,83 um     9564 A   
   6,50 MeV   7,572E+01  5,562E-02   55,28 um     2,05 um     1,05 um  
   7,00 MeV   7,175E+01  5,209E-02   62,06 um     2,28 um     1,15 um  
   8,00 MeV   6,505E+01  4,628E-02   76,69 um     3,10 um     1,36 um  
   9,00 MeV   6,079E+01  4,169E-02   92,58 um     3,84 um     1,59 um  
  10,00 MeV   5,641E+01  3,796E-02  109,64 um     4,56 um     1,83 um  
  11,00 MeV   5,233E+01  3,488E-02  128,03 um     5,27 um     2,10 um  
  12,00 MeV   4,886E+01  3,228E-02  147,80 um     5,99 um     2,38 um  
  13,00 MeV   4,586E+01  3,005E-02  168,91 um     6,72 um     2,68 um  
  14,00 MeV   4,325E+01  2,813E-02  191,34 um     7,45 um     3,00 um  
  15,00 MeV   4,095E+01  2,645E-02  215,09 um     8,20 um     3,33 um  
  16,00 MeV   3,891E+01  2,496E-02  240,12 um     8,96 um     3,69 um  
  17,00 MeV   3,708E+01  2,364E-02  266,43 um     9,74 um     4,06 um  
  18,00 MeV   3,543E+01  2,246E-02  294,00 um    10,52 um     4,44 um  
  20,00 MeV   3,257E+01  2,044E-02  352,83 um    13,48 um     5,27 um  
  22,50 MeV   2,964E+01  1,839E-02  433,24 um    17,71 um     6,39 um  
  25,00 MeV   2,724E+01  1,673E-02  521,17 um    21,72 um     7,61 um  
  27,50 MeV   2,523E+01  1,535E-02  616,47 um    25,65 um     8,93 um  
  30,00 MeV   2,352E+01  1,419E-02  719,04 um    29,57 um    10,35 um  
  32,50 MeV   2,204E+01  1,320E-02  828,77 um    33,49 um    11,86 um  
  35,00 MeV   2,076E+01  1,235E-02  945,56 um    37,45 um    13,46 um  
  37,50 MeV   1,963E+01  1,160E-02    1,07 mm    41,46 um    15,15 um  
  40,00 MeV   1,863E+01  1,095E-02    1,20 mm    45,51 um    16,93 um  
  45,00 MeV   1,692E+01  9,840E-03    1,48 mm    60,70 um    20,75 um  
  50,00 MeV   1,553E+01  8,944E-03    1,79 mm    74,98 um    24,92 um  
  55,00 MeV   1,437E+01  8,204E-03    2,12 mm    88,93 um    29,43 um  
  60,00 MeV   1,338E+01  7,581E-03    2,48 mm   102,79 um    34,27 um  
  65,00 MeV   1,253E+01  7,049E-03    2,87 mm   116,69 um    39,43 um  
  70,00 MeV   1,179E+01  6,590E-03    3,28 mm   130,70 um    44,91 um  
  80,00 MeV   1,057E+01  5,836E-03    4,18 mm   182,59 um    56,80 um  
  90,00 MeV   9,601E+00  5,243E-03    5,17 mm   230,94 um    69,91 um  
 100,00 MeV   8,809E+00  4,763E-03    6,26 mm   278,14 um    84,21 um  
 110,00 MeV   8,150E+00  4,366E-03    7,44 mm   325,13 um    99,66 um  
 120,00 MeV   7,592E+00  4,032E-03    8,71 mm   372,35 um   116,24 um  
 130,00 MeV   7,113E+00  3,748E-03   10,07 mm   420,03 um   133,92 um  
 140,00 MeV   6,698E+00  3,502E-03   11,51 mm   468,30 um   152,67 um  
 150,00 MeV   6,334E+00  3,288E-03   13,05 mm   517,22 um   172,49 um  
 160,00 MeV   6,012E+00  3,100E-03   14,67 mm   566,84 um   193,33 um  
 170,00 MeV   5,726E+00  2,932E-03   16,37 mm   617,15 um   215,20 um  
 180,00 MeV   5,469E+00  2,783E-03   18,16 mm   668,17 um   238,06 um  
 200,00 MeV   5,027E+00  2,526E-03   21,97 mm   861,17 um   286,71 um  
 225,00 MeV   4,578E+00  2,268E-03   27,18 mm     1,14 mm   352,85 um  
 250,00 MeV   4,213E+00  2,058E-03   32,87 mm     1,40 mm   424,65 um  
 275,00 MeV   3,910E+00  1,886E-03   39,03 mm     1,65 mm   501,90 um  
 300,00 MeV   3,655E+00  1,741E-03   45,64 mm     1,90 mm   584,38 um  
 325,00 MeV   3,437E+00  1,617E-03   52,69 mm     2,15 mm   671,91 um  
 350,00 MeV   3,248E+00  1,511E-03   60,17 mm     2,40 mm   764,31 um  
 375,00 MeV   3,083E+00  1,418E-03   68,06 mm     2,65 mm   861,39 um  
 400,00 MeV   2,938E+00  1,336E-03   76,36 mm     2,90 mm   963,01 um  
 450,00 MeV   2,693E+00  1,198E-03   94,14 mm     3,85 mm     1,18 mm  
 500,00 MeV   2,495E+00  1,087E-03  113,42 mm     4,73 mm     1,41 mm  
 550,00 MeV   2,331E+00  9,956E-04  134,15 mm     5,57 mm     1,66 mm  
 600,00 MeV   2,193E+00  9,187E-04  156,26 mm     6,40 mm     1,92 mm  
 650,00 MeV   2,076E+00  8,532E-04  179,68 mm     7,22 mm     2,20 mm  
 700,00 MeV   1,975E+00  7,967E-04  204,37 mm     8,03 mm     2,49 mm  
 800,00 MeV   1,809E+00  7,041E-04  257,27 mm    11,00 mm     3,10 mm  
 900,00 MeV   1,679E+00  6,313E-04  314,63 mm    13,69 mm     3,75 mm  
   1,00 GeV   1,575E+00  5,726E-04  376,12 mm    16,24 mm     4,45 mm  
   1,10 GeV   1,489E+00  5,241E-04  441,41 mm    18,71 mm     5,17 mm  
   1,20 GeV   1,417E+00  4,835E-04  510,23 mm    21,12 mm     5,92 mm  
   1,30 GeV   1,357E+00  4,489E-04  582,32 mm    23,48 mm     6,70 mm  
   1,40 GeV   1,305E+00  4,190E-04  657,45 mm    25,80 mm     7,51 mm  
   1,50 GeV   1,260E+00  3,930E-04  735,41 mm    28,08 mm     8,33 mm  
   1,60 GeV   1,221E+00  3,701E-04  816,01 mm    30,34 mm     9,17 mm  
   1,70 GeV   1,186E+00  3,499E-04  899,07 mm    32,57 mm    10,03 mm  
   1,80 GeV   1,156E+00  3,317E-04  984,42 mm    34,77 mm    10,90 mm  
   2,00 GeV   1,105E+00  3,008E-04    1,16 m     42,90 mm    12,68 mm  
   2,25 GeV   1,054E+00  2,695E-04    1,39 m     54,04 mm    14,95 mm  
   2,50 GeV   1,014E+00  2,443E-04    1,63 m     64,02 mm    17,25 mm  
   2,75 GeV   9,827E-01  2,236E-04    1,89 m     73,22 mm    19,59 mm  
   3,00 GeV   9,569E-01  2,062E-04    2,14 m     81,86 mm    21,93 mm  
   3,25 GeV   9,358E-01  1,913E-04    2,41 m     90,05 mm    24,28 mm  
   3,50 GeV   9,183E-01  1,785E-04    2,68 m     97,86 mm    26,63 mm  
   3,75 GeV   9,036E-01  1,674E-04    2,95 m    105,34 mm    28,96 mm  
   4,00 GeV   8,912E-01  1,576E-04    3,23 m    112,53 mm    31,28 mm  
   4,50 GeV   8,718E-01  1,412E-04    3,80 m    138,30 mm    35,87 mm  
   5,00 GeV   8,577E-01  1,280E-04    4,37 m    160,77 mm    40,38 mm  
   5,50 GeV   8,474E-01  1,171E-04    4,96 m    181,00 mm    44,79 mm  
   6,00 GeV   8,398E-01  1,079E-04    5,55 m    199,56 mm    49,10 mm  
   6,50 GeV   8,343E-01  1,001E-04    6,15 m    216,79 mm    53,30 mm  
   7,00 GeV   8,303E-01  9,341E-05    6,75 m    232,93 mm    57,40 mm  
   8,00 GeV   8,257E-01  8,243E-05    7,96 m    288,97 mm    65,29 mm  
   9,00 GeV   8,243E-01  7,382E-05    9,17 m    336,11 mm    72,79 mm  
  10,00 GeV   8,247E-01  6,688E-05   10,38 m    377,46 mm    79,93 mm  
  11,00 GeV   8,265E-01  6,116E-05   11,59 m    414,61 mm    86,75 mm  
  12,00 GeV   8,291E-01  5,636E-05   12,80 m    448,53 mm    93,25 mm  
  13,00 GeV   8,322E-01  5,229E-05   14,01 m    479,85 mm    99,48 mm  
  14,00 GeV   8,358E-01  4,877E-05   15,20 m    509,02 mm   105,45 mm  
  15,00 GeV   8,396E-01  4,571E-05   16,40 m    536,37 mm   111,19 mm  
  16,00 GeV   8,435E-01  4,302E-05   17,59 m    562,17 mm   116,70 mm  
  17,00 GeV   8,475E-01  4,064E-05   18,77 m    586,60 mm   122,02 mm  
  18,00 GeV   8,516E-01  3,852E-05   19,95 m    609,84 mm   127,16 mm  
  20,00 GeV   8,598E-01  3,489E-05   22,28 m    693,78 mm   136,92 mm  
  22,50 GeV   8,698E-01  3,123E-05   25,17 m    805,39 mm   148,30 mm  
  25,00 GeV   8,794E-01  2,828E-05   28,03 m    901,25 mm   158,90 mm  
  27,50 GeV   8,886E-01  2,585E-05   30,86 m    986,10 mm   168,82 mm  
  30,00 GeV   8,974E-01  2,382E-05   33,66 m      1,06 m    178,16 mm  
  32,50 GeV   9,058E-01  2,209E-05   36,43 m      1,13 m    186,99 mm  
  35,00 GeV   9,138E-01  2,060E-05   39,18 m      1,20 m    195,36 mm  
  37,50 GeV   9,213E-01  1,931E-05   41,90 m      1,26 m    203,34 mm  
  40,00 GeV   9,286E-01  1,817E-05   44,60 m      1,32 m    210,96 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  1,0000E-02                keV / (ug/cm2) 
  1,0000E-02                MeV / (mg/cm2) 
  1,0000E+01                keV / (mg/cm2) 
  9,9709E-02                 eV / (1E15 atoms/cm2)
  8,6356E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
